year,month,category,title,description,value
2023,9,Rent,Rentabien,Pago mensual del arriendo,1151080
2023,9,Water service,Acueducto,Pago mensual de servicio de agua,126290
2023,9,Ligth service,Condensa,Pago mensual de servicio de luz,72200
2023,9,Gas service,Vanti,Pago mensual de servicio de gas,39000
2023,9,Internet,Movistar,Pago mensual de servicio de internet,78800
2023,9,Groceries,"Fruver, aseo y otros",Mercado mensual,1150050
2023,9,Leisure,Diversion,Momentos de esparcimiento,1088910
2023,9,Phone plan,Claro,Plan de datos mensual,36050
2023,9,Gym,Smartfit,Plan mensual Angie,90000
2023,9,Gym,Smartfit,Plan mensual Hugo,80000
2023,9,Restaurants,Comidas por fuera,Salidas a restaurantes,281600
2023,9,Other,Gastos generales,Consolidado de gastos general del mes,57500
2023,9,Other,Gasolina,Gasolina moto del mes,72000
2023,9,Other,Parqueadero,Parqueadero del mes,60000
2023,9,Other,Deuda,Pago de deuda de tarjeta de credito,700000
2023,10,Rent,Rentabien,Pago mensual del arriendo,1151080
2023,10,Water service,Acueducto,Pago mensual de servicio de agua,0
2023,10,Ligth service,Condensa,Pago mensual de servicio de luz,68800
2023,10,Gas service,Vanti,Pago mensual de servicio de gas,29900
2023,10,Internet,Movistar,Pago mensual de servicio de internet,84320
2023,10,Groceries,"Fruver, aseo y otros",Mercado mensual,993460
2023,10,Leisure,Diversion,Momentos de esparcimiento,836097
2023,10,Phone plan,Claro,Plan de datos mensual,76700
2023,10,Gym,Smartfit,Plan mensual Angie,90000
2023,10,Gym,Smartfit,Plan mensual Hugo,80000
2023,10,Restaurants,Comidas por fuera,Salidas a restaurantes,582733
2023,10,Other,Gastos generales,Consolidado de gastos general del mes,591520
2023,10,Other,Deuda,Pago de deuda de tarjeta de credito,828922
2023,10,Other,Gasolina,Gasolina moto del mes,42000
2023,10,Other,Parqueadero,Parqueadero del mes,60000
2023,10,Other,Ajuste descuadre,Diferencia entre presupuestado y real,421000
2023,11,Rent,Rentabien,Pago mensual del arriendo,1151080
2023,11,Water service,Acueducto,Pago mensual de servicio de agua,119200
2023,11,Ligth service,Condensa,Pago mensual de servicio de luz,0
2023,11,Gas service,Vanti,Pago mensual de servicio de gas,41100
2023,11,Internet,Movistar,Pago mensual de servicio de internet,84400
2023,11,Groceries,"Fruver, aseo y otros",Mercado mensual,487350
2023,11,Leisure,Diversion,Momentos de esparcimiento,474450
2023,11,Phone plan,Claro,Plan de datos mensual,0
2023,11,Gym,Smartfit,Plan mensual Angie,90000
2023,11,Gym,Smartfit,Plan mensual Hugo,80000
2023,11,Restaurants,Comidas por fuera,Salidas a restaurantes,297000
2023,11,Other,Gastos generales,Consolidado de gastos general del mes,312000
2023,11,Other,Gasolina,Gasolina moto del mes,20000
2023,11,Other,Parqueadero,Parqueadero del mes,60000
